City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,San Vicente,AR,76.1,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
3,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Rikitea,PF,77.94,light rain,-23.1203,-134.9692,Pension Maro'i
10,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Warri,NG,79.9,broken clouds,5.5167,5.75,BON Hotel Delta
30,Butaritari,KI,82.22,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
31,Puerto Ayora,EC,80.01,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Brazzaville,CG,75.2,light rain,-4.2658,15.2832,Hotel Murex
33,Honavar,IN,81.97,scattered clouds,14.2833,74.45,Hotel Sagar Residency
38,Nioro,GM,84.83,overcast clouds,13.35,-15.75,
40,Mawlaik,MM,78.37,overcast clouds,23.6333,94.4167,AKZ Guest House
42,Lorengau,PG,80.56,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
43,Akyab,MM,80.96,overcast clouds,20.15,92.9,Hotel Memory
48,Arraial Do Cabo,BR,80.6,few clouds,-22.9661,-42.0278,Pousada Porto Praia
51,Maudaha,IN,88.25,clear sky,25.6833,80.1167,Chaudhary's home
55,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
62,Bathsheba,BB,84.2,broken clouds,13.2167,-59.5167,Atlantis Hotel
63,Vaitape,PF,82.2,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
68,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
69,Olinda,BR,75.2,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
74,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
79,General Pico,AR,77.9,clear sky,-35.6566,-63.7568,Hotel Malargue
87,Sola,VU,78.8,few clouds,-13.8833,167.55,Leumerus Bungalows
88,Muncar,ID,75.07,broken clouds,-8.4333,114.3333,Zaky Homestay
89,Prado,BR,77.34,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
90,Kapaa,US,77.0,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
93,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Mar Del Plata,AR,75.2,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
95,Atuona,PF,81.16,scattered clouds,-9.8,-139.0333,Villa Enata
98,Maturin,VE,87.3,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
99,Tahta,EG,77.0,clear sky,26.7693,31.5021,El Salam Hotel
105,Port Blair,IN,82.24,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
118,Inirida,CO,81.39,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
121,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
125,Beihai,CN,76.46,broken clouds,21.4833,109.1,21 Degree Hostel
129,Sao Joao Da Barra,BR,78.8,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
136,Namibe,AO,80.44,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
137,Sinnamary,GF,80.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
139,Sabang,ID,83.46,broken clouds,5.8933,95.3214,Hotel Citra
140,Lamu,KE,81.05,overcast clouds,-2.2717,40.902,Lamu House
142,Nalut,LY,82.26,scattered clouds,30.3333,10.85,
143,Souillac,MU,77.0,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
148,Hithadhoo,MV,82.36,broken clouds,-0.6,73.0833,Scoop Guest House
149,Honiara,SB,77.38,clear sky,-9.4333,159.95,Heritage Park Hotel
150,Faanui,PF,82.2,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
151,Mana,GF,81.41,broken clouds,5.6592,-53.7767,LE SAMANA
154,Vilhena,BR,78.8,heavy intensity rain,-12.7406,-60.1458,Hotel Mirage
157,Tucson,US,79.0,few clouds,32.2217,-110.9265,DoubleTree by Hilton Hotel Tucson - Reid Park
159,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
162,Guasdualito,VE,88.93,overcast clouds,7.2424,-70.7324,Hotel Cuibas
164,Manicore,BR,83.84,overcast clouds,-5.8092,-61.3003,Hotel Durval
165,Antalaha,MG,75.38,light rain,-14.9003,50.2788,Hotel Vitasoa
166,Piacabucu,BR,78.48,light rain,-10.4056,-36.4344,Piaçabuçu News
170,Acarau,BR,81.52,moderate rain,-2.8856,-40.12,castelo pizzaria
174,Lamont,US,75.99,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
177,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
178,Hobyo,SO,82.45,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
184,Vila Velha,BR,82.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
185,Bandarbeyla,SO,80.8,scattered clouds,9.4942,50.8122,JABIR HOTEL
186,Marawi,PH,75.99,light rain,7.9986,124.2928,Derogongan Residence
188,Montanha,BR,75.56,overcast clouds,-18.1269,-40.3633,Hotel Boldrini
190,Cabo San Lucas,MX,84.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
191,Mecca,SA,82.51,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
201,Bambous Virieux,MU,78.01,moderate rain,-20.3428,57.7575,Casa Tia Villa
204,Meulaboh,ID,78.96,light rain,4.1363,96.1285,Kost Pria
206,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
209,Kavieng,PG,80.06,light rain,-2.5744,150.7967,Nusa Island Retreat
215,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
216,Tan An,VN,82.4,scattered clouds,10.5333,106.4167,Khách Sạn Quỳnh Anh
221,Santa Luzia,BR,78.8,few clouds,-19.7697,-43.8514,Pousada Chao Earth
222,Caravelas,BR,77.63,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
234,Eldorado,BR,79.65,clear sky,-23.7869,-54.2836,Villa Verde Hotel
242,Samarai,PG,79.81,overcast clouds,-10.6167,150.6667,Nuli Sapi
244,Badiraguato,MX,86.0,scattered clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
245,Sibolga,ID,75.99,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
247,Road Town,VG,82.4,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
248,Pak Phanang,TH,80.64,broken clouds,8.3511,100.20200000000001,Green Park Inn Hotel
249,Moron,AR,78.8,scattered clouds,-34.6534,-58.6198,Hotel Morón
253,Kilindoni,TZ,79.97,light rain,-7.9139,39.6668,Bustani B&B
254,San Martin,AR,82.4,clear sky,-33.080999999999996,-68.4681,Club El Pelícano
259,Kavaratti,IN,83.95,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
261,Gwadar,PK,81.14,broken clouds,25.1216,62.3254,Sadaf Resort
263,Najran,SA,84.2,dust,17.4924,44.1277,محمد هادي ال فطيح
264,Vanimo,PG,76.6,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
271,Luba,GQ,80.6,few clouds,3.4568,8.5547,
273,Topolobampo,MX,90.0,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
274,San Patricio,US,75.2,mist,28.017,-97.5169,"Motel 6 Sinton, TX"
275,Puerto Leguizamo,CO,83.86,light rain,-0.1934,-74.7819,la casona de juancho
278,Lumut,MY,77.0,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
279,Saint-Georges,GD,86.0,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
283,Buchanan,LR,82.4,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
284,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
285,Hong Gai,VN,77.0,light rain,20.956,107.0946,Hạ Long DC Hotel
287,Awjilah,LY,76.69,overcast clouds,29.1081,21.2869,
288,Fomboni,KM,82.71,few clouds,-12.28,43.7425,Relais Singani
289,Port Moresby,PG,75.2,broken clouds,-9.4431,147.1797,Lamana Hotel
292,General Roca,AR,77.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
299,Durban,ZA,75.0,broken clouds,-29.8579,31.0292,Hilton Durban
300,Balrampur,IN,81.9,few clouds,27.4333,82.1833,Hotel Avadh
305,Pemangkat,ID,77.02,broken clouds,1.1667,108.9667,Ramah Kost KITA
306,Jaru,BR,84.65,broken clouds,-10.4389,-62.4664,Hotel Paraná
308,Reconquista,AR,76.14,moderate rain,-29.15,-59.65,Grand Hotel
311,Doha,QA,78.8,clear sky,25.2867,51.5333,Movenpick Hotel Doha
315,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
320,Mae Hong Son,TH,76.41,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
325,Pedernales,DO,81.5,clear sky,18.0384,-71.744,Hotel Costa Marina
329,Ambon,ID,79.0,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
335,South Venice,US,80.01,few clouds,27.0531,-82.4243,Rodeway Inn
338,Pauini,BR,89.78,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
344,Ndele,CF,81.63,clear sky,8.4109,20.6473,
348,Aden,YE,80.78,clear sky,12.7794,45.0367,Sama Emirate Hotel
352,Jacksonville,US,80.6,moderate rain,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
361,Kirakira,SB,79.93,scattered clouds,-10.4544,161.9205,SanBiz Lodge
362,Biak,ID,75.0,light rain,-0.9131,122.8766,Penginapan Kim
363,Neuquen,AR,77.0,clear sky,-38.9516,-68.0591,Hotel del Comahue
366,Kudahuvadhoo,MV,82.62,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
367,Casian,PH,81.07,overcast clouds,11.035,119.7136,
371,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
376,Mount Isa,AU,75.2,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
380,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
381,Kavali,IN,80.1,broken clouds,14.9167,79.9833,Lic B.M Quearter's
387,Gamba,GA,79.74,light rain,-2.65,10.0,
389,Daman,IN,81.43,clear sky,20.4167,72.85,Silver Sands Beach Resort
390,Tura,IN,77.27,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
391,Kimbe,PG,75.4,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
397,Sulangan,PH,81.45,overcast clouds,11.1373,123.7228,Maia's Beach Resort
398,Boa Vista,BR,77.0,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
402,Taoudenni,ML,88.59,clear sky,22.6783,-3.9836,
411,Tema,GH,84.2,scattered clouds,5.667000000000001,-0.0166,Beulah Royale
412,Mariel,CU,86.0,few clouds,22.9875,-82.7536,Casa de Alojamiento Marilda y Jesus
413,Mandera,KE,86.79,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
419,Yaan,NG,85.14,scattered clouds,7.3833,8.5667,
425,Bayonet Point,US,77.0,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
426,Capim Grosso,BR,81.91,overcast clouds,-11.3811,-40.0128,Hotel Veloso
432,Labuhan Deli,ID,77.0,scattered clouds,3.7278,98.6738,Rumahnya Ibnu Sina
434,Rosario Oeste,BR,83.59,broken clouds,-14.8361,-56.4275,ARLS Cavaleiros da Fraternidade n°67
435,Lazaro Cardenas,MX,85.51,clear sky,17.9583,-102.2,Hotel Quinta Antigua
442,Kralendijk,BQ,84.2,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
454,Ko Samui,TH,84.49,broken clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
455,Sokoni,TZ,80.6,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
457,Buala,SB,79.56,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
459,Bijawar,IN,84.87,clear sky,24.6333,79.5,Shreya agro agency bijawer
463,Cayenne,GF,82.4,light rain,4.9333,-52.3333,Hôtel Le Dronmi
465,Tirodi,IN,77.0,clear sky,21.6833,79.7,Sameer Ali
466,Presidencia Roque Saenz Pena,AR,76.95,light rain,-26.7852,-60.4388,Hotel Gualok
467,Clemson,US,75.0,clear sky,34.6834,-82.8374,Courtyard by Marriott Clemson
468,Yenagoa,NG,79.97,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
469,Saint-Leu,RE,77.0,clear sky,-21.15,55.2833,La Caz Oceane
475,Cockburn Town,TC,78.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
480,Labuhan,ID,76.75,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
481,Kloulklubed,PW,75.2,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
482,Mahanoro,MG,75.76,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
486,Trairi,BR,81.19,overcast clouds,-3.2778,-39.2689,janelas do mar
491,Sakakah,SA,75.2,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
492,Grand Gaube,MU,78.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
495,Arlit,NE,88.59,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
496,Ursulo Galvan,MX,90.0,broken clouds,22.7333,-98.3,HOTEL LAS FUENTES DEL BERNAL
497,Tarakan,ID,77.0,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
498,Mapiri,BO,80.49,broken clouds,-15.25,-68.1667,
504,Dingle,PH,76.32,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
507,Prata,BR,84.49,overcast clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
510,Chor,PK,80.71,scattered clouds,25.5167,69.7667,Asad U Bajeer Hotel
513,Batticaloa,LK,77.43,overcast clouds,7.7102,81.6924,Grand Star Guest House
515,Banjar,ID,78.8,scattered clouds,-8.19,114.9675,The Hamsa Resort
520,Padang,ID,76.64,overcast clouds,-0.9492,100.3543,Mercure Padang
525,Alta Floresta,BR,89.6,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
528,Sorong,ID,79.43,overcast clouds,-0.8833,131.25,waigo splash hotel
531,Daru,PG,77.45,scattered clouds,-9.0763,143.2092,Daru Lodge
535,Magole,TZ,75.2,few clouds,-6.3667,37.3667,Juma lubelwa
536,Phan Thiet,VN,77.59,scattered clouds,10.9333,108.1,Hotel Saigon-PT
541,San Rafael,AR,75.94,clear sky,-34.6177,-68.3301,Hotel San Rafael
542,Acapulco,MX,86.0,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
544,Adrar,MR,83.05,few clouds,20.5022,-10.0711,
545,Isangel,VU,79.16,clear sky,-19.55,169.2667,Volcano Sea View Tree House
548,Caucaia,BR,84.99,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
549,Denpasar,ID,78.8,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
550,Mogadishu,SO,82.4,overcast clouds,2.0371,45.3438,Olympic Hotel
559,Kant,IN,84.25,broken clouds,27.8,79.8,Haseeb Khan shatreng
561,Lhokseumawe,ID,78.22,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
571,Sompeta,IN,83.32,broken clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
577,Pilar,BR,80.6,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
584,Qui Nhon,VN,79.3,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
586,Balotra,IN,82.65,broken clouds,25.8333,72.2333,Hotel City Square
591,Bambanglipuro,ID,75.92,overcast clouds,-7.95,110.2833,Puri Brata
594,Nizwa,OM,82.08,clear sky,22.9333,57.5333,Orient Apartments
595,Nanuque,BR,75.96,overcast clouds,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
597,Yanam,IN,75.83,clear sky,16.7333,82.2167,The Regency Hotel
603,Porto Nacional,BR,86.0,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
607,Lakhimpur,IN,81.79,scattered clouds,27.95,80.7667,Hotel Sarna
609,Aswan,EG,80.13,clear sky,24.0934,32.907,Nuba Nile
610,Bubaque,GW,77.45,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
611,Carutapera,BR,78.93,light rain,-1.195,-46.02,Lidera
612,Springbok,ZA,77.4,overcast clouds,-29.6643,17.8865,Undulata Country Lodge
616,Quelimane,MZ,77.0,few clouds,-17.8786,36.8883,Hotel Flamingo
618,Mathbaria,BD,81.18,overcast clouds,22.2876,89.9593,Shikdar Hotel
619,Alofi,NU,75.2,few clouds,-19.0595,-169.9187,Taloa Heights
620,Merauke,ID,77.04,scattered clouds,-8.4667,140.3333,
624,Salinopolis,BR,80.6,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
625,Vallenar,CL,81.57,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
628,Seminole,US,86.0,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
629,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
630,Kualakapuas,ID,75.2,broken clouds,-3.0091,114.3876,Guest House Izonk
632,Thinadhoo,MV,82.92,scattered clouds,0.5333,72.9333,
637,Gamboula,CF,75.7,clear sky,4.1178,15.1393,
641,Pirenopolis,BR,80.6,scattered clouds,-15.8525,-48.9592,Hotel Pousada Mandala
648,Kuching,MY,75.2,few clouds,1.55,110.3333,The Ranee Boutique Suites
649,Luganville,VU,81.23,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
655,Camargo,MX,86.67,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
657,Waddan,LY,75.94,broken clouds,29.1614,16.139,محل الشريف محمد العايب
660,Mitu,CO,80.74,overcast clouds,1.1983,-70.1733,
661,Gizo,SB,82.27,overcast clouds,-8.103,156.8419,Imagination Island
662,Texistepeque,SV,86.0,broken clouds,14.1333,-89.5,Caserio Santa Elena Texistepeque
665,Machali,CL,77.0,clear sky,-34.1833,-70.6667,Mining House
667,Werda,BW,76.71,clear sky,-25.2667,23.2833,
671,Edd,ER,83.16,clear sky,13.9297,41.6925,
673,Baikunthpur,IN,75.06,overcast clouds,23.25,82.55,Hotel Shree Annpurna inn
675,Hambantota,LK,77.0,scattered clouds,6.1241,81.1185,Bungalow 63
683,La Union,PE,85.23,broken clouds,-5.4,-80.75,Los Portales
684,Placido De Castro,BR,82.98,overcast clouds,-10.3353,-67.1856,Hotel Carioca
685,Harper,LR,81.79,overcast clouds,4.375,-7.7169,Screensaver
688,Sumbe,AO,80.51,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
694,Kismayo,SO,83.03,overcast clouds,-0.3582,42.5454,Agan-Hotel
695,Nakhon Phanom,TH,76.12,few clouds,17.3333,104.4167,ป่ายางรีสอร์ท
696,Crixas,BR,84.07,overcast clouds,-14.5489,-49.9692,RISO HOTEL
697,Brownsville,US,84.2,overcast clouds,25.9018,-97.4975,University Inn & Suites
